,target_idx,e_mse,e_h,e_v,e_comb_target
0,0,0.038754639,2.237116293,1.494264335,2.689419402
1,0,0.041030767,2.468632095,1.325608595,2.801255457
2,0,0.035287827,2.195245979,0.830881496,2.346937736
3,0,0.025739531,1.30143499,1.07251024,1.686185042
4,0,0.028830348,1.750924861,0.735800525,1.899069752
5,0,0.032654561,1.902979233,0.988172777,2.143916726
6,0,0.029655374,1.675229641,0.982521899,1.94181442
7,0,0.034721226,2.019546442,1.037191513,2.269923275
8,0,0.040192863,2.297493148,1.261590095,2.620433465
9,0,0.042998056,2.56528057,1.18365336,2.824527063
0,1,0.044453853,1.050679204,1.181781374,1.58110969
1,1,0.051045152,1.456239604,1.046811809,1.793182909
2,1,0.040894234,1.039788154,0.969040232,1.42119177
3,1,0.042381689,1.332319805,0.61334024,1.46662574
4,1,0.036617575,1.054575211,0.695240468,1.263039925
5,1,0.034645012,0.847446232,0.830884896,1.186732262
6,1,0.035531666,0.888116182,0.845211703,1.225929985
7,1,0.038090786,0.915135871,0.947134302,1.316902399
8,1,0.032011717,0.820493188,0.733362852,1.100401332
9,1,0.034601779,0.950109866,0.738635593,1.203366639
0,2,0.076348683,1.401650782,1.260892901,1.88499531
1,2,0.091087248,1.823187912,1.2030476,2.183891877
2,2,0.059063266,1.070415277,0.892636915,1.39363508
3,2,0.04330162,0.848720603,0.534122811,1.002761374
4,2,0.049360147,0.87531835,0.763697981,1.161565895
5,2,0.041729097,0.723176725,0.653961819,0.974966562
6,2,0.038854802,0.694153675,0.576400256,0.902231433
7,2,0.041529417,0.660881501,0.703983582,0.965540952
8,2,0.053050879,0.836674361,0.924286124,1.246629832
9,2,0.070945926,1.003795432,1.337439949,1.672010432
0,3,0.146125546,0.86966003,2.607571022,2.748389263
1,3,0.104031139,1.300365448,1.196308436,1.766669563
2,3,0.089384823,1.526022875,0.539700179,1.618563092
3,3,0.093559936,1.268336477,1.075100513,1.662457031
4,3,0.063025472,0.887087613,0.661536093,1.106532677
5,3,0.087353618,1.246234742,0.922151322,1.550137961
6,3,0.073423614,1.041715461,0.770602598,1.295661122
7,3,0.073055158,0.999015021,0.810533226,1.286362634
8,3,0.076189145,0.993685493,0.8960965,1.337937882
9,3,0.071162497,1.035118616,0.740318119,1.272518352
0,4,0.043063703,2.285630727,1.584449805,2.780155138
1,4,0.039016149,2.067633899,1.346975312,2.46704319
2,4,0.036433716,2.10323131,0.961477133,2.312219438
3,4,0.032848745,1.931515017,0.802312688,2.091286713
4,4,0.030794827,1.79758575,0.752708804,1.948625473
5,4,0.020993338,1.146145136,0.605501546,1.296180994
6,4,0.023427318,1.254837497,0.666871295,1.420932805
7,4,0.022222675,1.239283703,0.594065369,1.374233457
8,4,0.026049944,1.419742153,0.744651685,1.603034595
9,4,0.027299386,1.504290457,0.7632397,1.686679921
0,5,0.050421323,1.495323117,0.867055243,1.728320932
1,5,0.03285707,0.780528847,0.794698282,1.113828701
2,5,0.036877588,0.730838631,1.005636314,1.243064807
3,5,0.046739164,0.775688117,1.383220727,1.585725082
4,5,0.046667425,1.073552416,1.150178164,1.573151416
5,5,0.03802985,0.733637243,1.057734341,1.287160041
6,5,0.037270792,0.814242675,0.953041252,1.253409026
7,5,0.045810463,1.148597252,1.031790293,1.543792877
8,5,0.047806593,1.32999286,0.90146657,1.606530161
9,5,0.050340522,1.365722893,1.006801653,1.696490707
0,6,0.082174357,1.548236467,1.137799008,1.921031606
1,6,0.080658447,1.590367652,0.963904611,1.859415737
2,6,0.088317796,1.824330092,0.894383251,2.031506872
3,6,0.081558351,1.77409535,0.579006488,1.866074478
4,6,0.078501488,1.512192751,0.954235197,1.787860737
5,6,0.061888868,1.150736109,0.830727504,1.419130236
6,6,0.052212835,0.878533341,0.799124493,1.187527097
7,6,0.045153664,0.605481754,0.840658868,1.035958619
8,6,0.040460729,0.554371989,0.736868126,0.922081971
9,6,0.072670128,1.338825135,0.984176832,1.661430602
0,7,0.161151263,2.334114236,1.607257498,2.83295783
1,7,0.111425855,1.512426521,1.208983301,1.935902052
2,7,0.098582619,1.377596696,0.989548894,1.695943669
3,7,0.065907663,0.965423816,0.582114592,1.127285352
4,7,0.04840908,0.407446205,0.658626895,0.774449836
5,7,0.059690921,0.662562849,0.779970088,1.023344713
6,7,0.064691565,0.675551914,0.872189992,1.103152196
7,7,0.074419047,0.873649899,0.933379263,1.278354775
8,7,0.081466336,1.080063594,0.879339386,1.392626575
9,7,0.090587856,1.201540187,1.020199896,1.576038193
0,8,0.034521557,1.16079085,2.011304591,2.321759565
1,8,0.042430364,1.688255301,2.166813365,2.745879036
2,8,0.042224727,1.662971484,2.169142166,2.732282492
3,8,0.033219462,1.42043682,1.572681854,2.118712428
4,8,0.026756709,1.17204217,1.202572005,1.679004308
5,8,0.02382337,1.288992327,0.752717874,1.492549181
6,8,0.02885246,1.585577865,0.878615407,1.812521417
7,8,0.03200931,1.819593855,0.86244884,2.013390007
8,8,0.031525209,1.739768136,0.953506558,1.983645664
9,8,0.030713563,1.752566224,0.823643128,1.936241177
0,9,0.213329835,4.8464121,6.154706885,7.810708519
1,9,0.095796825,1.949127523,2.829859827,3.434362986
2,9,0.080320079,1.842733851,2.107787626,2.798626536
3,9,0.069460314,1.900912541,1.400698985,2.360624265
4,9,0.05992652,1.528394092,1.377689518,2.057235107
5,9,0.058305097,1.016584657,1.727424271,2.004042518
6,9,0.064959517,0.95021275,1.996576056,2.210827438
7,9,0.067665936,1.171067094,1.987792573,2.306624464
8,9,0.061947367,0.884279921,1.928942987,2.12169507
9,9,0.044609833,0.648724641,1.395123317,1.538466766
0,10,0.124313554,0.636848974,2.965636067,3.033004688
1,10,0.107132658,1.223476703,2.249955054,2.56049111
2,10,0.079969642,0.989031634,1.59756089,1.878661858
3,10,0.084810649,1.550333327,1.227303697,1.976951556
4,10,0.06036385,1.197997058,0.704487997,1.389680171
5,10,0.045316836,0.914120005,0.494530732,1.03927524
6,10,0.051326223,0.902297826,0.761189216,1.180406202
7,10,0.06123424,1.093489202,0.883020343,1.405370023
8,10,0.058429582,1.035291749,0.849035182,1.338796454
9,10,0.055674139,0.941806859,0.875298847,1.285640785
0,11,0.233499542,1.412209109,4.226038446,4.454123324
1,11,0.111730964,1.25752473,1.553953763,1.998647017
2,11,0.114043666,1.74272303,1.046329298,2.032372513
3,11,0.112653871,1.443860447,1.38665587,2.001479342
4,11,0.104652297,1.512908323,1.062591985,1.848497684
5,11,0.090615783,1.053445895,1.200632159,1.59706485
6,11,0.075570805,0.701691551,1.130039639,1.330077157
7,11,0.071057953,0.706211119,1.029273363,1.248167939
8,11,0.086286081,0.916165895,1.212082809,1.519211589
9,11,0.087831409,1.165200727,1.029643221,1.554758282
0,12,0.024428303,1.220927991,1.004279372,1.580706049
1,12,0.029610257,1.353488967,1.3227945,1.892198684
2,12,0.025600663,1.103380437,1.205235105,1.633805932
3,12,0.025860049,1.069311119,1.245546916,1.641369231
4,12,0.024654487,1.237700646,0.958064517,1.56499822
5,12,0.023944929,1.30827243,0.765498921,1.515637811
6,12,0.026307969,1.495629552,0.746115847,1.671254254
7,12,0.027195099,1.550197986,0.751186496,1.722452932
8,12,0.028807719,1.658681431,0.772471544,1.829554443
9,12,0.030384108,1.723532663,0.889895023,1.939464464
0,13,0.194409099,1.103158631,6.459753219,6.551632809
1,13,0.107121284,0.914794174,3.474108551,3.591957334
2,13,0.100138937,1.089584582,3.179864868,3.360632343
3,13,0.049041656,1.281203403,1.054898814,1.659382957
4,13,0.040141247,0.822486274,1.084791628,1.3612249
5,13,0.043836382,1.043811508,1.07059736,1.495063205
6,13,0.042796115,1.026253027,1.04072904,1.461454385
7,13,0.041963259,1.086479888,0.940271092,1.436706098
8,13,0.049137599,1.092887818,1.27644545,1.680156664
9,13,0.045654407,0.958997393,1.228272583,1.558129017
0,14,0.086151348,1.293437293,1.54349448,2.013389326
1,14,0.075159427,0.73790107,1.555698729,1.721673955
2,14,0.065091255,0.757416844,1.277066558,1.484654591
3,14,0.061334757,0.775616438,1.168408996,1.402293436
4,14,0.060335506,0.875158625,1.080807358,1.390569594
5,14,0.058015935,0.906324908,0.994961637,1.345750065
6,14,0.053128015,0.774042306,0.947701571,1.223544527
7,14,0.054003866,0.711836683,1.018843522,1.242795218
8,14,0.05154607,0.505610515,1.067528438,1.181160709
9,14,0.051380993,0.429745984,1.097421343,1.178526564
0,15,0.072887966,0.979432308,0.849143934,1.296168254
1,15,0.088706859,1.174660544,1.008778687,1.548189767
2,15,0.068259372,0.947792896,0.737333096,1.200738571
3,15,0.073693985,0.926427639,0.894543623,1.287710188
4,15,0.073077616,0.983105812,0.836712915,1.290856588
5,15,0.061671567,0.839958504,0.693866356,1.089423173
6,15,0.072785962,0.75421946,1.028442373,1.275263244
7,15,0.075980185,0.754653605,1.089309403,1.325074555
8,15,0.082387028,0.644437696,1.277113174,1.430399547
9,15,0.096159892,0.649414651,1.539757026,1.670983207
0,16,0.030568887,1.021590359,1.626582979,1.920494087
1,16,0.024977689,1.030656606,1.172316056,1.560764258
2,16,0.023071043,0.863546768,1.149241296,1.437382539
3,16,0.023163607,0.915034883,1.107255761,1.436275476
4,16,0.022425895,0.971209069,0.993067481,1.388903267
5,16,0.022172379,0.773061048,1.126627924,1.366237817
6,16,0.01978673,0.768200019,0.946888604,1.219226969
7,16,0.020377208,0.813288807,0.959015255,1.257339204
8,16,0.020094901,0.812011432,0.919555395,1.226669576
9,16,0.020781072,0.876605651,0.933707529,1.280615138
0,17,0.048747476,0.964547438,1.313973934,1.629793509
1,17,0.043290986,0.910783525,1.090594239,1.420746885
2,17,0.03372279,0.654743311,0.902009453,1.114525996
3,17,0.038456601,0.757093443,1.01666379,1.267499554
4,17,0.045856564,0.840674218,1.26237705,1.516532732
5,17,0.041093785,0.871384849,1.034914135,1.352785468
6,17,0.037051865,0.82307072,0.898445882,1.218371175
7,17,0.040899909,0.832153529,1.06087832,1.348193522
8,17,0.036922047,0.743573858,0.953355529,1.208960193
9,17,0.032102597,0.664097545,0.82854666,1.061787244
0,18,0.08464003,0.891780002,1.718785294,1.936114693
1,18,0.071656732,0.44580817,1.57081789,1.632793445
2,18,0.067365626,0.586822412,1.405221501,1.522738247
3,18,0.065862574,0.634372263,1.355732096,1.496708798
4,18,0.06185557,0.714188794,1.216525566,1.410564953
5,18,0.057090717,0.618116895,1.14181804,1.298312215
6,18,0.05370723,0.639431137,1.038896071,1.21983523
7,18,0.056836324,0.779247655,1.025197371,1.287632458
8,18,0.058161621,0.910607905,0.956173761,1.320290543
9,18,0.056390087,0.930638663,0.887315367,1.285744896
0,19,0.120400084,1.140082821,1.744876276,2.083932526
1,19,0.121339724,1.061506677,1.788949424,2.079824931
2,19,0.085665363,0.801976703,1.238496246,1.475343653
3,19,0.082387123,0.745594053,1.206140379,1.417870457
4,19,0.087713636,0.750570764,1.309702862,1.509399072
5,19,0.090221333,0.720181041,1.375003477,1.552062172
6,19,0.074865821,0.539009021,1.168242936,1.286530691
7,19,0.063117649,0.515398205,0.952157321,1.082654635
8,19,0.071537075,0.801550625,0.930976521,1.228403243
9,19,0.070837067,0.646068556,1.033692164,1.218910546
0,20,0.055870691,0.678404137,3.474756622,3.540040762
1,20,0.04373094,0.684037783,2.643237634,2.730069858
2,20,0.025364239,0.556607767,1.466167536,1.568180114
3,20,0.017752208,0.471922985,0.944202797,1.055532841
4,20,0.024808365,1.005135964,1.152962532,1.52940363
5,20,0.020309735,0.757970825,0.988244562,1.245359065
6,20,0.01954766,0.658830314,1.004396608,1.201121176
7,20,0.020583537,0.426347862,1.189651979,1.263700842
8,20,0.023687821,0.704776542,1.277415702,1.458825429
9,20,0.032376771,0.921138533,1.775719712,2.000147465
0,21,0.067554803,0.920870934,2.079361631,2.273820199
1,21,0.050396786,0.824170435,1.443149107,1.661734529
2,21,0.053536369,0.584110378,1.654876764,1.754828296
3,21,0.058283589,0.57114303,1.843262464,1.929603672
4,21,0.058534524,0.866091799,1.738857618,1.942374701
5,21,0.053216509,0.822438408,1.558858506,1.762321513
6,21,0.048865313,0.755794018,1.425734665,1.613527902
7,21,0.04397368,0.780683805,1.218545102,1.447049346
8,21,0.043955112,0.674239029,1.289868408,1.455352728
9,21,0.04975518,0.991501037,1.314916504,1.646629706
0,22,0.070558372,1.08310624,1.209336567,1.623242824
1,22,0.06219301,0.986196879,1.000885205,1.404976788
2,22,0.072052948,1.090415586,1.208400996,1.627431714
3,22,0.075721911,1.118381295,1.296286145,1.711806329
4,22,0.071866476,1.065680008,1.217608134,1.6178874
5,22,0.052983672,0.960653969,0.704062714,1.190955312
6,22,0.045561076,0.816835916,0.596760651,1.011557058
7,22,0.040292404,0.624612003,0.646139903,0.898649416
8,22,0.047931271,0.570451378,0.916160296,1.079191145
9,22,0.064151732,0.878019429,1.154279263,1.450124674
0,23,0.173043126,0.783299373,2.897832734,3.001481889
1,23,0.15459959,0.794623091,2.54684845,2.667620038
2,23,0.091513071,1.017509437,1.197900391,1.571523918
3,23,0.069084135,0.844245647,0.817058056,1.174794164
4,23,0.077836503,0.631188523,1.147626246,1.309668595
5,23,0.090966073,0.403784468,1.507783711,1.560866088
6,23,0.077615277,0.514211163,1.226615369,1.329976231
7,23,0.079670436,0.510124904,1.264657246,1.363604155
8,23,0.085852799,0.567508243,1.354450855,1.468455891
9,23,0.077279417,0.458806465,1.245747156,1.327500145
0,24,0.03289614,1.331959088,1.826445356,2.260003111
1,24,0.021531548,0.970786621,0.996011157,1.390713911
2,24,0.02383078,1.101673681,1.14414713,1.588115957
3,24,0.021515653,0.758102836,1.175947769,1.399017609
4,24,0.024787952,1.242072333,1.063854989,1.635182555
5,24,0.024618758,1.223178989,1.076811705,1.62941269
6,24,0.025188116,1.194327075,1.169757092,1.671513126
7,24,0.024645017,1.152334402,1.139225101,1.620187797
8,24,0.025868735,1.166729008,1.216178361,1.68509011
9,24,0.023993058,1.151664935,1.085908194,1.582685546
0,25,0.052735957,1.488361975,1.252821714,1.945089087
1,25,0.05054515,1.38040908,1.137611238,1.788487355
2,25,0.033664278,0.799045711,0.85888519,1.173015996
3,25,0.044460238,1.271805792,0.826526205,1.516636656
4,25,0.050600469,1.002633961,1.407285056,1.727691379
5,25,0.047575303,1.187190282,1.148834408,1.651812879
6,25,0.041404697,0.99118006,1.038162709,1.435196741
7,25,0.036103328,0.915701407,0.844347349,1.245467271
8,25,0.028000902,0.666932766,0.686887275,0.957354797
9,25,0.025326445,0.698015789,0.537604569,0.881015051
0,26,0.140411284,3.031240814,1.768207397,3.507607191
1,26,0.076588342,1.610467892,0.870154936,1.830294719
2,26,0.084352141,1.839179567,0.814980411,2.011432765
3,26,0.084874325,1.791097681,0.925579109,2.015840069
4,26,0.097595346,2.106350829,0.970629766,2.3188656
5,26,0.071362773,1.57733935,0.621596489,1.695284945
6,26,0.054666096,1.125548277,0.636366326,1.292908599
7,26,0.054268642,1.128209488,0.624028355,1.289211662
8,26,0.056152191,1.121159831,0.716575857,1.330495461
9,26,0.056452968,1.184169448,0.625258096,1.339022888
0,27,0.130912289,1.832282921,1.686610254,2.489585617
1,27,0.109077908,1.33874531,1.500076404,2.010181676
2,27,0.096141167,0.906171032,1.465618169,1.722923721
3,27,0.101727431,1.115367852,1.459105798,1.836289603
4,27,0.096830667,1.216016955,1.240675402,1.736965255
5,27,0.097814928,1.373272788,1.087537466,1.751487942
6,27,0.094933834,1.325100132,1.061799451,1.697793993
7,27,0.083006149,1.23473225,0.809963115,1.476549272
8,27,0.08777367,1.31895562,0.856016415,1.57222463
9,27,0.081420917,1.242526752,0.773862498,1.463680421
0,28,0.036420275,1.149540307,2.124255477,2.41484616
1,28,0.034765602,0.761223507,2.127886298,2.259711227
2,28,0.031405497,0.444277862,1.979212508,2.028386121
3,28,0.030044137,0.798981059,1.753923086,1.927127168
4,28,0.032703111,1.214249626,1.702533207,2.090762003
5,28,0.032110735,1.279855361,1.58538623,2.037107555
6,28,0.031977264,1.188746334,1.638095549,2.023594536
7,28,0.031587284,1.083919245,1.669043003,1.989787975
8,28,0.037833502,1.553400665,1.813213438,2.386959314
9,28,0.036390854,1.791267304,1.419519433,2.284961316
0,29,0.091421716,2.079817754,2.424609011,3.192811433
1,29,0.087053163,1.796416437,2.413665132,3.007533286
2,29,0.077212208,1.192580521,2.382787386,2.663952568
3,29,0.070587205,0.616405019,2.366356132,2.445144262
4,29,0.071058475,0.883914475,2.279931382,2.444941961
5,29,0.062066511,0.566047095,2.058425975,2.134707147
6,29,0.055458956,0.853007774,1.69185987,1.894509446
7,29,0.064974386,0.907880744,2.017808437,2.212336958
8,29,0.054049528,0.76207576,1.679751308,1.844358484
9,29,0.059758112,1.084467062,1.724163962,2.036514222
0,30,0.127904305,1.278791321,2.803002774,3.080082803
1,30,0.120658187,1.465581057,2.406536285,2.816787538
2,30,0.097786425,1.069266346,1.979698182,2.249603342
3,30,0.086967483,0.700478137,1.883095277,2.00898242
4,30,0.076087008,0.892457165,1.504177604,1.748799047
5,30,0.077400375,0.941215243,1.503364102,1.77346456
6,30,0.074871538,1.151711812,1.26509883,1.710570947
7,30,0.062915448,1.015984797,1.01654852,1.437067427
8,30,0.059814594,0.880265582,1.046118567,1.367072474
9,30,0.058325019,0.841944394,1.0349695,1.334062907
0,31,0.161530375,1.609312484,2.40786512,2.89509976
1,31,0.182634245,2.042216825,2.477976749,3.209457768
2,31,0.142366303,0.925878069,2.335774907,2.512208921
3,31,0.135301763,0.67329166,2.291450166,2.388115842
4,31,0.125104374,0.659545386,2.104113317,2.204883193
5,31,0.116246118,0.641313483,1.940904834,2.043958112
6,31,0.09143783,0.347394716,1.572644108,1.610518917
7,31,0.086339018,0.526786292,1.416696103,1.511391863
8,31,0.099693189,0.679310361,1.613046033,1.750112073
9,31,0.114090629,0.85395034,1.82744758,2.016880383
0,32,0.092731072,4.429521748,4.634507302,6.397525567
1,32,0.055084542,2.260101567,2.903366544,3.676970496
2,32,0.030838521,1.319730772,1.487163229,1.987908299
3,32,0.028710175,0.990371187,1.569839374,1.855868798
4,32,0.032016052,1.17648186,1.685762538,2.055311996
5,32,0.027966664,1.085827877,1.418771443,1.786328838
6,32,0.028356179,1.229580399,1.322842041,1.80574211
7,32,0.030528083,1.284265154,1.452731568,1.938647045
8,32,0.03841733,1.913129067,1.48072442,2.418542665
9,32,0.041933447,2.094333592,1.62166431,2.647894243
0,33,0.082391768,2.008531973,2.15463797,2.944326807
1,33,0.076158422,1.824438819,1.907367972,2.638505652
2,33,0.073058611,1.735221389,1.798441872,2.498285734
3,33,0.063872487,1.379676497,1.70367907,2.191754051
4,33,0.067359464,1.562358727,1.69400971,2.303863935
5,33,0.064543364,1.543689986,1.564733037,2.197498313
6,33,0.060549138,1.423214642,1.488328341,2.058844096
7,33,0.064907824,1.518916297,1.596031221,2.202733691
8,33,0.062516761,1.383981627,1.615069934,2.12645879
9,33,0.059414499,1.307084448,1.551348104,2.028171796
0,34,0.185769054,3.095456346,3.341485439,4.550158676
1,34,0.145610081,2.598859962,2.289934554,3.461718151
2,34,0.109213464,1.991732358,1.630584196,2.573231288
3,34,0.082336251,1.392551543,1.327558326,1.923596353
4,34,0.06814664,0.94475936,1.270270921,1.58290035
5,34,0.058541249,0.979007919,0.939234294,1.356567053
6,34,0.049780882,0.872064637,0.752207653,1.151580792
7,34,0.054525702,1.002908487,0.748245554,1.251186688
8,34,0.060564396,1.007729651,0.97356189,1.401053491
9,34,0.059591745,0.858858319,1.099625202,1.39515266
0,35,0.170606515,2.239613617,2.250922787,3.173673465
1,35,0.161573076,2.035575848,2.107322821,2.928635607
2,35,0.129275395,1.742443197,1.52848006,2.317213637
3,35,0.133825752,1.649477552,1.724391268,2.385585041
4,35,0.132690792,1.746552961,1.578312168,2.353387054
5,35,0.123781116,1.560322423,1.541112612,2.192552378
6,35,0.102834307,1.524577681,0.989750655,1.817420886
7,35,0.095579479,1.39353737,0.944071465,1.683007537
8,35,0.089357758,1.242286835,0.957732384,1.568423725
9,35,0.085648473,1.229594378,0.897897193,1.522375329
